sno,homework,discussion,final,grade
1,19.37,0,30.1,A
2,20,0,30.1,A
3,19.37,0,29.75,A
4,18.12,2,29.05,A
5,20,2,21.35,A
6,19.37,0,32.2,A
7,19.37,2,28.7,A
8,16.87,0,25.9,A
9,19.37,0,21.7,A
10,20,0,19.25,A
11,19.37,0,21.35,A
12,19.37,0,20.65,A
13,19.37,0,21,A
14,20,0,18.55,A
15,18.12,0,23.1,A
16,19.37,0,24.85,A
17,20,0,18.55,A
18,19.37,0,18.55,A
19,19.37,0,24.5,A
20,19.37,0,20.65,A
21,19.37,0,12.95,A
22,16.87,0,15.05,A
23,19.37,0,17.5,A
24,19.37,0,18.9,A
25,19.37,2,10.15,A
26,16.87,0,18.9,A
27,19.37,2,22.05,A
28,19.37,0,11.9,A
29,16.25,0,22.4,A
30,16.87,0,19.95,A
31,15,0,19.95,B
32,20,0,12.6,B
33,19.37,0,19.95,B
34,20,2,14.35,B
35,18.12,0,16.1,B
36,20,0,14,B
37,16.87,0,20.3,B
38,20,0,16.45,B
39,13.75,0,14.35,B
40,20,2,14.7,B
41,19.37,0,17.85,B
42,19.37,0,18.55,B
43,19.37,0,18.9,B
44,17.5,0,13.3,B
45,19.37,0,10.15,B
46,19.37,0,15.75,B
47,20,0,9.8,B
48,16.87,0,21.35,B
49,16.87,0,12.25,B
50,19.37,0,11.9,B
51,18.75,0,4.55,B
52,17.5,2,14,B
53,15.62,0,19.25,B
54,19.37,0,11.2,B
55,17.5,0,19.6,B
56,20,0,14.7,B
57,16.87,0,10.85,B
58,20,0,4.55,B
59,17.5,0,12.6,B
60,19.37,0,7.7,B
61,19.37,0,12.25,B
62,19.37,0,11.9,C
63,19.37,0,11.9,C
64,20,0,7.35,C
65,16.87,0,12.25,C
66,19.37,2,7.35,C
67,19.37,0,14.35,C
68,19.37,0,11.2,C
69,19.37,2,11.2,C
70,16.87,0,9.8,C
71,16.87,0,13.3,C
72,19.37,0,7.35,C
73,19.37,0,1.05,C
74,19.37,2,0,C
75,16.25,0,2.8,C
76,19.37,0,11.9,C
77,15.62,0,8.05,C
78,15,0,9.45,C
79,16.87,0,10.5,C
80,16.87,0,1.4,C
81,18.12,0,10.15,C
82,20,0,5.25,C
83,19.37,0,5.6,C
84,18.75,0,1.05,C
85,19.37,0,2.45,C
86,18.75,0,10.15,C
87,19.37,0,2.1,C
88,20,0,2.8,C
89,19.37,0,4.55,C
90,18.75,0,0,C
91,0,0,1.05,C
92,5,0,0,C
